asset_id,asset_type,assigned_employee,purchase_date,status,serial_number,office
LAP-001,Laptop,EMP-0231,2025-05-10,maintenance,DXB
LAP-002,Laptop,EMP-0012,2019-11-01,in_stock,DXB
LAP-003,Laptop,EMP-0231,2025-02-02,retired,LKO
LAP-004,Laptop,EMP-0046,2022-07-12,active,BLR
LAP-005,Laptop,EMP-0151,2020-08-13,in_stock,SIN
LAP-006,Laptop,EMP-0238,2019-11-12,active,BLR
LAP-007,Laptop,EMP-0145,2021-09-11,retired,SIN
LAP-008,Laptop,EMP-0174,2025-01-23,active,SIN
LAP-009,Laptop,EMP-0194,2020-07-27,in_stock,LKO
LAP-010,Laptop,EMP-0129,2022-11-17,active,LKO
LAP-011,Laptop,EMP-0112,2021-08-08,active,DXB
LAP-012,Laptop,EMP-0155,2025-11-19,retired,SIN
LAP-013,Laptop,EMP-0249,2022-08-29,active,DXB
LAP-014,Laptop,EMP-0201,2024-01-20,maintenance,BLR
LAP-015,Laptop,EMP-0092,2025-03-15,maintenance,SIN
LAP-016,Laptop,EMP-0048,2026-08-16,retired,SIN
LAP-017,Laptop,EMP-0022,2025-12-08,active,BLR
LAP-018,Laptop,EMP-0183,2019-10-29,active,DXB
LAP-019,Laptop,EMP-0040,2023-04-06,in_stock,BLR
LAP-020,Laptop,EMP-0190,2023-05-15,active,DXB
LAP-021,Laptop,EMP-0028,2020-01-10,active,DXB
LAP-022,Laptop,EMP-0114,2023-01-14,active,LKO
LAP-023,Laptop,EMP-0034,2019-12-24,active,SIN
LAP-024,Laptop,EMP-0115,2025-03-31,retired,SIN
LAP-025,Laptop,EMP-0027,2019-04-18,active,DXB
LAP-026,Laptop,EMP-0142,2020-01-17,retired,DXB
LAP-027,Laptop,EMP-0222,2023-04-27,active,DXB
LAP-028,Laptop,EMP-0106,2023-05-08,active,BLR
LAP-029,Laptop,EMP-0147,2024-11-04,active,SIN
LAP-030,Laptop,EMP-0044,2020-07-22,active,DXB
LAP-031,Laptop,EMP-0069,2024-07-12,active,LKO
LAP-032,Laptop,EMP-0043,2023-11-16,active,SIN
LAP-033,Laptop,EMP-0077,2024-06-06,active,DXB
LAP-034,Laptop,EMP-0065,2021-10-07,in_stock,SIN
LAP-035,Laptop,EMP-0153,2025-11-30,active,SIN
LAP-036,Laptop,EMP-0028,2020-07-08,active,LKO
LAP-037,Laptop,EMP-0243,2023-06-09,active,SIN
LAP-038,Laptop,EMP-0206,2022-09-11,maintenance,DXB
LAP-039,Laptop,EMP-0111,2026-04-20,retired,BLR
LAP-040,Laptop,EMP-0077,2022-08-06,retired,BLR
LAP-041,Laptop,EMP-0123,2022-07-10,active,SIN
LAP-042,Laptop,EMP-0248,2022-07-31,active,SIN
LAP-043,Laptop,EMP-0248,2025-06-16,active,DXB
LAP-044,Laptop,EMP-0097,2022-02-22,maintenance,DXB
LAP-045,Laptop,EMP-0030,2025-04-28,active,BLR
LAP-046,Laptop,EMP-0175,2025-03-03,active,SIN
